,word1,word2,prediction
183,bedroom,room,-0.36470134302641355
184,bedroom,stair,-0.850589701792616
185,bedroom,staircase,-0.6317564223205542
186,beef,chicken,-0.353473717491648
187,beef,lamb,-0.4819577093121514
188,beef,pepper,-0.7039006943497343
189,beef,potato,-0.5889492715425584
190,beer,patio,-0.8469068123685388
191,beer,wild,-0.7945774405538963
192,being,characters,-0.7186852576633916
193,believe,week,-0.6479544382670996
194,belly,black,-0.741442529457538
195,belly,dance,-0.6600330513234132
196,belly,dark,-0.6478468185894357
197,belly,field,-0.9467572042416823
198,belly,stripe,-0.6598319385041749
199,bench,game,-0.6255282983435715
200,benefited,get,-0.8534603320544787
201,bent,double,-0.834394717517166
202,bent,inclination,-0.8497604764518987
203,berlin,germany,-0.3543955820750364
204,berry,blossom,-0.7556578990542624
205,berry,bright,-0.763576693174306
206,berry,dessert,-0.7548797846207426
207,berry,ivy,-0.728766276086787
208,berry,raspberry,-0.5776132357447826
209,berry,seed,-0.823203772506464
210,berry,sweet,-0.6734869898042062
211,bias,prejudice,-0.4244441997295444
212,bible,misty,-1.0184132980817098
213,bicycle,green,-0.8683450471645972
214,bigger,large,-0.5103341029080966
215,bike,chopper,-0.7728845213130322
216,bikini,ivy,-0.892263054910738
217,bin,cup,-0.9129950470827836
218,bird,cock,-0.75927257348623
219,bird,dragonfly,-0.8043268371872918
220,bird,flamingo,-0.8360399628831822
221,bird,goose,-0.6337695114562398
222,bird,insect,-0.601767126520079
223,bird,reptile,-0.6203348011615811
224,bird,shade,-0.884938548868984
225,bird,solid,-0.9183367579831047
226,bishop,priest,-0.35854934934570504
227,bishop,radical,-0.962485806860053
228,bishop,wine,-0.9675975703040153
229,bit,curb,-0.8453591398668179
230,bit,tool,-0.8001959447733499
231,bitter,taste,-0.6386743067951206
232,black,blue,-0.430256462579355
233,black,bright,-0.5534366320013614
234,black,brown,-0.4525192377915004
235,black,cigarette,-0.8726446434458022
236,black,juvenile,-0.8751041590188169
237,black,skirt,-0.6633107330051504
238,black,white,-0.28641791463306887
239,blast,smashing,-0.7881182892145444
240,blaze,pig,-0.9829562085086252
241,blessing,patronage,-0.7438974378416232
242,blizzard,rash,-0.8653973814016758
243,block,hinder,-0.7685084139472249
244,blonde,haircut,-0.66428714532445
245,blonde,wig,-0.5379578457521055
246,bloom,flower,-0.5936573885940544
247,bloom,friend,-0.8075974923176537
248,bloom,plant,-0.7507102568859146
249,bloom,purple,-0.6846851462106905
250,blossom,bud,-0.7927703724319355
251,blossom,cherry,-0.43620847230163673
252,blossom,daisy,-0.7342007382340074
253,blossom,foliage,-0.6411351834157302
254,blossom,orange,-0.6774731147421771
255,blossom,petal,-0.6126180020265709
256,blossom,purple,-0.7022761310545904
257,blow,contact,-0.9049152047750478
258,blow,swat,-0.8889827301503593
259,blowing,smoking,-0.8071362704392171
260,blue,colour,-0.5872577181487283
261,blue,happy,-0.7856665137267169
262,blue,report,-0.8791061250786157
263,blue,shade,-0.653743871192447
264,blue,skirt,-0.6463273280530407
265,blues,rhythm,-0.5211792059790785
266,blur,focus,-0.8087614105040379
267,blur,metro,-1.0574035300879558
268,board,deal,-0.7642064167418177
269,boardwalk,park,-0.7073200208794225
270,boast,complain,-0.7399004026947508
271,boat,negro,-1.038098150085089
272,boat,shore,-0.5655007280008456
273,bold,forward,-0.7979453950734899
274,bold,leader,-0.8123867740177846
275,bone,skull,-0.4628901546316727
276,book,building,-0.7953688256440679
277,book,smoking,-0.8432372489444959
278,booklet,reference,-0.7373536460480677
279,boot,kick,-0.7200819140496244
280,boot,punch,-0.8059154500615133
281,bootleg,produce,-0.8645562222477199
282,bootleg,whiskey,-0.6285756615586209
283,born,construction,-0.9760891992925491
284,born,mother,-0.5202163761962141
285,born,subway,-1.013915837452435
286,bottle,wine,-0.4696310585876097
287,bound,line,-0.7605115956573829
288,bound,skirt,-0.8476172643549946
289,bowling,wheel,-0.950591524312268
290,boxer,stair,-0.9353452660296695
291,boxing,hit,-0.8932163130433453
292,boy,hand,-0.6564927700853351
293,boy,live,-0.7166485209027887
294,bracelet,jewelry,-0.6243930988078572
295,bracelet,mountain,-1.1198004068018383
296,brain,head,-0.7720561277154687
297,brake,click,-0.8932654305051528
298,branch,tea,-0.8916060165554146
299,brass,executive,-0.9658750722761296
300,brazil,nut,-0.9016346953190713
301,brazil,triple,-0.8639739561450399
302,bread,bun,-0.6499254414716036
303,bread,cooking,-0.49447017918730574
304,bread,cover,-0.798962967780575
305,bread,dessert,-0.4890611210808896
306,bread,egg,-0.5594231239137074
307,bread,medicine,-0.8426361470708308
308,break,glittering,-0.9025527403043987
309,break,scattered,-0.8864021074479206
310,breakfast,diner,-0.5439890641745895
311,breakfast,evening,-0.5378849127777444
312,breakfast,lunch,-0.3229298076630912
313,breakfast,makeup,-0.9265499708776388
314,breakfast,morning,-0.5413834471742047
315,breakfast,people,-0.8320457772959133
316,breakfast,relax,-0.8278710633476676
317,brick,cement,-0.5862303677336228
318,brick,construction,-0.5905655421475138
319,brick,skyscraper,-0.6385156663189192
320,bride,photographer,-0.8429478891659486
321,bright,dark,-0.41258535642139493
322,bright,fruit,-0.6528015975808901
323,bright,mist,-0.7583190308951604
324,bright,raspberry,-0.8009186174568128
325,bright,shade,-0.5175919125520463
326,bright,sky,-0.4891512711713355
327,bring,presenting,-0.8580137465841093
328,bring,return,-0.4426580562569905
329,broadcast,packet,-0.8603473468554266
330,bronze,sculpture,-0.4998350569501956
331,bronze,suspicion,-1.015797963580935
332,brown,green,-0.4795115804920719
333,brown,hawk,-0.7813744287628575
334,brown,purple,-0.6145254287993756
335,brown,white,-0.46849253744947517
336,brussels,sweden,-0.7900986522994307
337,bucket,water,-0.6638391811344042
338,bud,flower,-0.7195189511801603
339,bud,ivy,-0.9426377902116413
340,budget,fund,-0.5774032109208695
341,budget,scale,-0.8040896445700377
342,bug,insect,-0.5615921047776533
343,building,cafe,-0.7717110650463846
344,building,construction,-0.3299473984786454
345,building,downtown,-0.4459760760564426
346,building,floor,-0.5197690083341293
347,building,ministry,-0.7083671078606204
348,building,tall,-0.6895760126991037
349,building,zombie,-1.0907715525672714
350,burger,cooking,-0.8537362878221899
351,burger,dessert,-0.741494266383133
352,burger,salad,-0.6749485241740463
353,burger,soup,-0.6149696999428518
354,burn,fire,-0.602821169835467
355,burn,ripple,-0.9229076354283929
356,bus,rail,-0.424258250981837
357,business,railway,-0.7961185702164432
358,butter,stick,-0.6119900631668379
359,butterfly,caterpillar,-0.821795183511835
360,butterfly,dragonfly,-0.6024190581113797
361,butterfly,glittering,-0.9308774649503414
362,button,sticker,-0.7778305106557859
363,cafe,child,-0.916185269761306
364,cafe,coffee,-0.5101002728286514
365,cafe,dinner,-0.6024872517923713
366,cafe,donut,-0.7732106535649195
367,cafe,lunch,-0.6205548298451964
368,cafe,pub,-0.46882570003728774
369,cafe,reflection,-0.9627631581794257
370,cafe,relax,-0.8586600498355466
371,cafe,shop,-0.46713809184194277
372,cafe,spiral,-1.0153498035302728
373,cake,christmas,-0.6232100292121099
374,call,meeting,-0.5675369204348987
375,call,statement,-0.5618656713332969
376,call,telephone,-0.4635231486729138
377,camel,desert,-0.7355936347894003
378,camp,camp,-0.0
379,campaign,conspiracy,-0.7879297330870351
380,can,sketch,-0.9446311753446477
381,candidate,republic,-0.7594289642762211
382,canine,dog,-0.49615640216685875
383,canyon,landscape,-0.8124816806412927
384,canyon,river,-0.5485581670886361
385,car,insurance,-0.7564700797791404
386,car,pig,-0.8937579869764603
387,car,skull,-0.8700180469553245
388,card,playing,-0.700918180770569
389,card,see,-0.8127688415755753
390,carrier,carrier,-0.0
391,carrier,traveler,-0.8916472381157293
392,carrier,vehicle,-0.7202940806825285
393,carrot,memorial,-1.0830333817173794
394,carrot,salad,-0.5744176759599101
395,cart,wagon,-0.6099498493812159
396,cartoon,wit,-0.8760480422883187
397,case,clients,-0.7164280861812535
398,cast,cast,-0.0
399,cast,shoot,-0.8493254352860751
400,castle,patio,-0.9039916185392073
401,castle,ruin,-0.7281765431050671
402,cat,garden,-0.8815257832990302
403,catch,catching,-0.29427940752044845
404,catch,hooks,-0.7023193470550491
405,catching,perceive,-0.920481982435706
406,catching,playing,-0.6620849515598386
407,category,flavor,-0.8996925276915364
408,catering,loan,-0.9403159604441117
409,caterpillar,paint,-0.8917793596119774
410,cathedral,step,-0.9524768831440364
411,cattle,goat,-0.5017993123370494
412,cattle,web,-1.0154851587467502
413,cautious,film,-0.9488085156478777
414,ceiling,marble,-0.607375083544456
415,ceiling,mug,-0.9518922933472053
416,ceiling,room,-0.5663119280705536
417,ceiling,staircase,-0.5496351343398336
418,ceiling,wall,-0.5770366348687188
419,cell,membrane,-0.5276938129003196
420,cemetery,grave,-0.4689443342098012
421,cemetery,memorial,-0.4393849487682514
422,center,center,-0.0
423,center,refer,-0.8489737534223627
424,century,period,-0.5536975059192701
425,century,temperature,-0.8825305894238132
426,ceramic,floor,-0.7812470209357745
427,chance,fortune,-0.7688217863411186
428,chance,opportunity,-0.2395104312896167
429,chance,ring,-0.8459899356658719
430,change,laundering,-0.9352854674666938
431,change,transforming,-0.713220829248565
432,change,yielding,-0.9047815692414953
433,channel,sound,-0.7578216708656251
434,chaos,death,-0.7469772996536392
435,chapel,porch,-0.6089874545645881
436,chapel,ruin,-0.8441775028343627
437,charcoal,fuel,-0.7531955264458035
438,charge,damage,-0.7560100058298387
439,charge,sentence,-0.595830642367835
440,checked,checked,-0.0
441,cheer,musician,-1.0024727212801845
442,cheese,food,-0.6496295745791645
443,cheetah,flame,-0.9450611855402898
444,chemical,intermediate,-0.7898321125498395
445,chemistry,patient,-0.8646298392260284
446,cherry,fruit,-0.5517930682889927
447,cherry,grape,-0.5828185439754838
448,cherry,lamb,-0.8317095046990081
449,cherry,meat,-0.8842148038573512
450,cherry,orange,-0.6461343909226148
451,cherry,raspberry,-0.48706977427464215
452,chess,family,-0.9645315858475774
453,chess,toy,-0.84143828531522
454,chicken,lamb,-0.4376403230001975
455,chicken,poultry,-0.4182696799667792
456,chief,guru,-0.8103151531997823
457,child,lad,-0.9237185765886503
458,child,street,-0.8128578625590482
459,chile,plate,-0.8043299456604757
460,chocolate,rock,-0.8635364496477583
461,choice,option,-0.3683610954247818
462,chopper,poppy,-1.022425410214789
463,chord,play,-0.912751605085775
464,christmas,valentine,-0.6027227941896975
465,church,porch,-0.7246084170584529
466,church,temple,-0.6067164498858937
467,circle,oval,-0.7499500410696665
468,circle,sport,-0.9132643111410388
469,city,round,-0.7902859087899786
470,city,ruin,-0.8525081152646943
471,city,sidewalk,-0.8089847039689375
472,city,square,-0.6293155970494797
473,city,urban,-0.5517744024874202
474,class,sex,-0.804619097089769
475,cliff,coast,-0.8028016005055755
476,cliff,harbour,-0.7916651983034352
477,cliff,waterfall,-0.626137866031852
478,clinic,session,-0.8979370591617007
479,clock,timer,-0.5416539206299175
480,close,short,-0.6562534609153914
481,closed,closed,-0.0
482,closed,state,-0.7706387554110097
483,closed,up,-0.5623120546735625
484,closing,closing,-0.0
485,closing,finale,-0.7812818048533127
486,clothes,short,-0.7872796330128486
487,cloud,energy,-0.8417628251132232
488,club,hockey,-0.5285361966980084
489,club,shirt,-0.7391869425105595
490,clubhouse,pop,-0.9583639288403554
491,clue,parish,-1.0721892716944885
492,coast,scenery,-0.8457080364844889
493,coast,sunk,-0.7144251932066663
494,coast,zebra,-1.0042371390650635
495,coat,resurfacing,-1.0041987328487658
496,coat,roof,-0.6986856034963823
497,cock,penis,-0.8635470551471203
498,cocktail,garage,-0.9118921164545627
499,cocktail,restaurant,-0.662788835474397
500,coffee,meeting,-0.8173945655040203
501,coffee,tea,-0.33078887309001126
502,coin,gold,-0.6361118791169083
503,coin,silver,-0.5981976405873202
504,coin,ticket,-0.7567987105724394
505,cold,mist,-0.7023565309260332
506,cold,rain,-0.6018326405036963
507,cold,silver,-0.8959113205851789
508,cold,sunny,-0.6288831371228053
509,cold,sunshine,-0.6499686775491131
510,cold,water,-0.5730754201596344
511,cold,weather,-0.4769456520499542
512,cold,winter,-0.486738857016487
513,coldness,cool,-0.8916389569018767
514,collage,exhibition,-0.710648333921027
515,collage,paint,-0.6971252863107884
516,collage,sculpture,-0.5690229601911304
517,collage,stream,-0.9162638982449738
518,collapse,shock,-0.6704394094638084
519,collar,tiger,-0.9428398889249815
520,collect,collect,-0.0
521,collect,scrape,-0.7533323111455275
522,collection,library,-0.467190339600297
523,collection,packet,-0.9313886574997741
524,color,quality,-0.6186498169133985
525,color,wash,-0.7466137091090299
526,colorful,outfit,-0.7669260924325499
527,colorful,shot,-0.9685405889708754
528,colorful,toy,-0.7465461870817471
529,colorful,wood,-0.8347161739185891
530,colors,emblem,-0.564415757193828
531,colour,grey,-0.534593458367706
532,colour,shade,-0.6170834094424955
533,comfort,relief,-0.7201379967416741
534,comment,mention,-0.5377177997114233
535,commercial,manufacture,-0.6495124608475702
536,commitment,guarantee,-0.4955407623983301
537,communication,theater,-0.9032114721297145
538,compact,short,-0.831125296585653
539,company,distributor,-0.5510604759512634
540,compartment,stalls,-0.8539647196901858
541,compatible,software,-0.5657510175222329
542,competes,race,-0.8577688756189386
543,compound,enhance,-0.9465892023828798
544,compound,whole,-0.8770471670991701
545,computer,lab,-0.5238720126942826
546,computer,number,-0.706484992524441
547,computer,platform,-0.7643697613773373
548,computer,railway,-0.961815094441759
549,concentration,focus,-0.7178325278169037
550,concert,jazz,-0.5395636547238762
551,concert,sing,-0.599010498747157
552,concerts,settle,-1.0210310040649995
553,conclusion,judgment,-0.5794073789785968
554,conclusion,situation,-0.6697287576163382
555,concoct,request,-1.0485447723191337
556,concrete,interior,-0.7787374811527372
557,concrete,pin,-0.8635800945182889
558,cone,palm,-1.020629027952666
559,congress,sex,-0.8706694169166324
560,connection,keyboard,-0.8428491953955375
561,consequences,position,-0.8215335180436368
562,consistency,phase,-0.9187570685728423
563,construction,downtown,-0.6575102159685229
564,construction,interior,-0.6991871589653877
565,contact,print,-0.8030638463436426
566,control,driving,-0.6969511664398711
567,cooking,dessert,-0.574862346920769
568,cooking,eat,-0.5654118213968121
569,cooking,food,-0.4787925326579723
570,cooking,frozen,-0.794748663677126
571,cooking,salad,-0.6354702563521855
572,cool,cool,-0.0
573,cool,jazz,-0.7841751553576973
574,cool,state,-0.9187571341428553
575,cop,dirty,-0.6944622861782865
576,cop,music,-0.9777641629220826
577,cop,ruin,-0.9690751223435128
578,cord,eclipse,-0.9731134287856031
579,corn,pepper,-0.6751569428719736
580,cost,price,-0.3847298125514831
581,costume,halloween,-0.5288986281893198
582,costume,radiation,-0.9956601177274221
583,cottage,patio,-0.6767099764449327
584,council,minister,-0.7052553247873482
585,count,investigation,-0.7914228865994898
586,count,number,-0.7046514868067244
587,counter,furniture,-0.886630906328198
588,counter,negative,-0.6654575503580781
589,couple,family,-0.4996317658998706
590,couple,makeup,-0.8633433964119892
591,couple,race,-0.7648429238860849
592,cousin,relation,-0.8446151124772066
593,cover,feather,-0.9568119800130451
594,cover,sleeve,-0.6635084568054813
595,covering,skin,-0.7431655523544731
596,cowboys,ranch,-0.7435539123329555
597,crack,cracking,-0.3261807995803059
598,cracking,noise,-0.7491945718975289
599,cracking,sound,-0.8453540977110784
600,craft,game,-0.8969242955136018
601,crane,stair,-0.84099368459922
602,crash,swing,-0.9594220802965691
603,creation,stitch,-0.9973303490176312
604,credit,flap,-0.9478709670611642
605,credit,foundation,-0.8648402754002813
606,crew,unit,-0.7553809162661312
607,critic,reviewers,-0.6338903965720989
608,crochet,family,-1.0614045154169476
609,crochet,jewelry,-0.8856759377036041
610,crochet,knitting,-0.4718110437404751
611,cross,mug,-1.019642628016138
612,cross,post,-0.7228630265923168
613,cross,pub,-0.9129108096604883
614,cross,shopping,-0.8914256153221437
615,crush,push,-0.6538582880645432
616,crush,split,-0.8947520932947757
617,crystal,spiral,-0.809305553728135
618,cube,dice,-0.7361924017681338
619,cup,handbag,-1.056730668649264
620,curb,smother,-0.8405224997883428
621,curb,train,-0.8491756990356094
622,current,flow,-0.6621624381401889
623,cut,gore,-0.809496622716418
624,cute,fashion,-0.7435018474567564
625,cute,friend,-0.7845978323020364
626,cute,fun,-0.4661685558941705
627,cute,haircut,-0.6939508334671678
628,cylinder,pen,-0.8901125853280447
629,daisy,foliage,-0.8504621358408161
630,daisy,grass,-0.8770644675221437
631,daisy,petal,-0.7573738451810048
632,dance,hotel,-0.8479542696389477
633,dandelion,foliage,-0.7473206743287961
634,dandelion,grass,-0.7636338679519153
635,dandelion,petal,-0.7116612717131828
636,danger,status,-0.7354054231796402
637,dark,flamingo,-1.062617032746238
638,dark,pod,-0.7961890507625218
639,dark,white,-0.5180582514980592
640,dashboard,protection,-0.9595184064711468
641,daughter,graphic,-0.9515471197764186
642,daughter,pub,-0.9136385488448169
643,dawn,day,-0.6113256868553508
644,day,glide,-1.001068003892738
645,day,horse,-0.7489772727734624
646,day,independence,-0.7288000388955882
647,day,night,-0.361728793957248
648,day,sunny,-0.7425052925781075
649,day,sunset,-0.7411213028976277
650,day,weather,-0.6471453307832132
651,dead,sidewalk,-0.8150846197239175
652,deaf,people,-0.7278996714163889
653,death,funeral,-0.5677773992016169
654,decision,option,-0.6113235564969874
655,decoration,tulip,-0.9157516028025887
656,defeat,ending,-0.6477006011102489
657,defeated,people,-0.932692786240283
658,degree,quantity,-0.7797723507918843
659,demand,supply,-0.45368410562109573
660,demolition,interior,-0.8584651574100348
661,demolition,skyscraper,-0.7543458673646222
662,demolition,tall,-0.9418251482923419
663,desert,mountain,-0.5475518096557759
664,deserve,merit,-0.618097725788752
665,deserve,want,-0.4423260362644933
666,design,graphic,-0.677347717441007
667,design,orange,-0.905266263718435
668,designation,recognition,-0.6745688096158641
669,designs,intend,-0.9524930095910868
670,dessert,head,-1.0368205572764688
671,dessert,salad,-0.41183322497359887
672,determination,selection,-0.8521493841951594
673,development,twist,-0.9446001989989202
674,diamond,parade,-0.8560403140657638
675,diamond,short,-0.8871679798579316
676,diamond,stencil,-1.003489258341792
677,difficulty,problem,-0.4978863352569719
678,digit,toe,-0.8382446338996412
679,dilute,market,-0.8947772047226248
680,dinner,sitting,-0.6314702904933163
681,dinner,sleep,-0.761765362947935
682,direction,direction,-0.0
683,direction,traveling,-0.7225015201912448
684,dirt,racing,-0.6726943537882126
685,dirt,road,-0.5444507490238635
686,dirt,sand,-0.48229087863860753
687,dirty,dude,-0.7879563129510474
688,dirty,rabbit,-0.8542762547449637
689,dirty,washing,-0.6321632301531919
690,discharge,spread,-0.9538614441600024
691,discipline,discipline,-0.0
692,disk,dot,-0.8151003200042231
693,display,stick,-0.8046761684794406
694,dissipate,isolate,-0.8012478610436939
695,distinction,sword,-0.8078397818197306
696,distinguish,medal,-0.9358790233544954
697,distinguish,sex,-0.8662308242719736
698,disturbance,upset,-0.9223787878983398
699,diversion,skiing,-0.9329109850606271
700,dock,herb,-1.0227150762478432
701,dog,husky,-0.7502403968373481
702,dog,secretary,-0.9897231419763082
703,doll,new,-0.9148784884923724
704,dome,interior,-0.7929374213817024
705,dome,uniform,-0.9750030949927541
706,donut,panda,-0.9577336012143912
707,door,interior,-0.7035775437181229
708,door,porch,-0.5241085174965606
709,door,room,-0.4139690155075383
710,downtown,field,-0.8732336615218108
711,downtown,hockey,-0.8627047707872608
712,downtown,ruin,-0.8713030206910802
713,downtown,shopping,-0.47725191448861815
714,downtown,subway,-0.5650191013072703
715,drag,drawing,-0.8598180745337289
716,dragon,drop,-0.9395749489862718
717,dragonfly,frog,-0.6153599161833612
718,dragonfly,insect,-0.5941112015254084
719,draw,draw,-0.0
720,draw,entertainer,-1.0539645151480654
721,dress,match,-0.8237722166912529
722,dress,neckline,-0.5984834154549159
723,dress,outfit,-0.5090732006692464
724,dressing,patch,-0.8524930179908328
725,drill,implement,-0.8692273808215314
726,drink,turn,-0.7048265496021617
727,dripping,hot,-0.7548217984574106
728,dripping,round,-1.058383349634249
729,dripping,wet,-0.6278907998740179
730,drive,drive,-0.0
731,drive,operate,-0.7359476775761168
732,drop,drop,-0.0
733,drop,measure,-0.6522365954430669
734,drop,sink,-0.6812045801388052
735,dropping,dropping,-0.0
736,drought,time,-0.8101688270027162
737,drug,reflection,-0.9832827742858979
738,drug,sing,-0.9555633436814024
739,drug,wolf,-0.9370899471589451
740,dude,fun,-0.7065026053165268
741,dude,hanging,-0.9465758649130861
742,dude,sitting,-0.8198579631934761
743,dude,smile,-0.7791066915278031
744,dusk,hummingbird,-0.9155130759422571
745,dusk,misty,-0.7286282216375044
746,dye,kiss,-0.9565177620558422
747,eagle,feather,-0.6136797976033992
748,ear,organ,-0.7069759500211357
749,earn,make,-0.5765161451116818
750,ease,relaxation,-0.5686482412120017
751,ease,rest,-0.6785336949962351
752,east,israel,-0.6701802388497446
753,easter,preference,-0.9824425736688701
754,eat,rabbit,-0.7507554260060354
755,eat,soup,-0.5715503515400124
756,eat,truck,-0.8271174939907953
